MES,NJUD,BOLETIM
FEVEREIRO,1822,7
FEVEREIRO,1822,8
FEVEREIRO,1822,9
FEVEREIRO,1822,10
FEVEREIRO,1823,1
FEVEREIRO,1823,2
FEVEREIRO,1823,3
FEVEREIRO,1823,8
FEVEREIRO,1823,9
FEVEREIRO,1823,10
FEVEREIRO,1824,1
FEVEREIRO,1824,3
FEVEREIRO,1824,4
FEVEREIRO,1824,5
FEVEREIRO,1824,6
FEVEREIRO,1824,7
FEVEREIRO,1825,5
FEVEREIRO,1825,6
FEVEREIRO,1825,7
FEVEREIRO,1825,8
FEVEREIRO,1825,9
FEVEREIRO,1825,10
FEVEREIRO,1826,1
FEVEREIRO,1826,2
FEVEREIRO,1826,3
FEVEREIRO,1826,4
FEVEREIRO,1826,9
FEVEREIRO,1826,10
JANEIRO,109,180
JANEIRO,1792,5
JANEIRO,1792,6
JANEIRO,1792,7
JANEIRO,1792,8
JANEIRO,1792,9
JANEIRO,1792,10
JANEIRO,1793,1
JANEIRO,1793,2
JANEIRO,1793,3
JANEIRO,1793,4
JANEIRO,1793,9
JANEIRO,1793,10
JANEIRO,1794,2
JANEIRO,1794,3
JANEIRO,1794,5
JANEIRO,1794,6
JANEIRO,1794,7
JANEIRO,1794,8
JANEIRO,1795,1
JANEIRO,1795,2
JANEIRO,1795,3
JANEIRO,1795,4
JANEIRO,1795,9
JANEIRO,1795,10
JANEIRO,1796,1
JANEIRO,1796,4
JANEIRO,1796,5
JANEIRO,1796,6
JANEIRO,1796,7
JANEIRO,1796,8
JANEIRO,1797,2
JANEIRO,1797,3
JANEIRO,1797,5
JANEIRO,1797,6
JANEIRO,1797,9
JANEIRO,1797,10
JANEIRO,1798,1
JANEIRO,1798,2
JANEIRO,1798,4
JANEIRO,1798,6
JANEIRO,1798,7
JANEIRO,1798,8
JANEIRO,1799,1
JANEIRO,1799,4
JANEIRO,1799,5
JANEIRO,1799,7
JANEIRO,1799,8
JANEIRO,1799,9
JANEIRO,1799,10
JANEIRO,1800,2
JANEIRO,1800,3
JANEIRO,1800,6
JANEIRO,1800,7
JANEIRO,1800,8
JANEIRO,1800,10
JANEIRO,1801,1
JANEIRO,1801,2
JANEIRO,1801,3
JANEIRO,1801,4
JANEIRO,1801,5
JANEIRO,1801,9
JANEIRO,1802,5
JANEIRO,1802,6
JANEIRO,1802,7
JANEIRO,1802,8
JANEIRO,1802,9
JANEIRO,1802,10
JANEIRO,1803,1
JANEIRO,1803,2
JANEIRO,1803,3
JANEIRO,1803,4
JANEIRO,1803,9
JANEIRO,1803,10
JANEIRO,1804,1
JANEIRO,1804,3
JANEIRO,1804,4
JANEIRO,1804,5
JANEIRO,1804,6
JANEIRO,1804,7
JANEIRO,1805,1
JANEIRO,1805,2
JANEIRO,1805,3
JANEIRO,1805,8
JANEIRO,1805,9
JANEIRO,1805,10
JANEIRO,1806,2
JANEIRO,1806,4
JANEIRO,1806,5
JANEIRO,1806,6
JANEIRO,1806,7
JANEIRO,1806,8
JANEIRO,1807,2
JANEIRO,1807,3
JANEIRO,1807,4
JANEIRO,1807,8
JANEIRO,1807,9
JANEIRO,1807,10
JANEIRO,1808,1
JANEIRO,1808,4
JANEIRO,1808,5
JANEIRO,1808,6
JANEIRO,1808,7
JANEIRO,1808,10
JANEIRO,1809,3
JANEIRO,1809,5
JANEIRO,1809,6
JANEIRO,1809,7
JANEIRO,1809,8
JANEIRO,1809,9
JULHO,139,230
JULHO,1900,5
JULHO,1900,6
JULHO,1900,7
JULHO,1900,8
JULHO,1900,9
JULHO,1900,10
JULHO,1901,1
JULHO,1901,2
JULHO,1901,3
JULHO,1901,4
JULHO,1901,9
JULHO,1901,10
JULHO,1902,1
JULHO,1902,2
JULHO,1902,3
JULHO,1902,4
JULHO,1902,5
JULHO,1902,6
JULHO,1902,7
JULHO,1903,3
JULHO,1903,4
JULHO,1903,5
JULHO,1903,6
JULHO,1903,8
JULHO,1903,9
JULHO,1904,1
JULHO,1904,2
JULHO,1904,5
JULHO,1904,6
JULHO,1904,9
JULHO,1904,10
JULHO,1905,1
JULHO,1905,2
JULHO,1905,3
