LINHA,CAMINHO,PROGRAMA,NUMERO_EXTRAIDO
82,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0805_20-02-2026.mp3,NJUD_0805,0805
84,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0901_23-02-2026.mp3,NJUD_0901,0901
86,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0902_24-02-2026.mp3,NJUD_0902,0902
89,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0904_26-02-2026.mp3,NJUD_0904,0904
91,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0905_27-02-2026.mp3,NJUD_0905,0905
93,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1001_02-03-2026.mp3,NJUD_1001,1001
96,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1002_03-03-2026.mp3,NJUD_1002,1002
100,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1003_04-03-2026.mp3,NJUD_1003,1003
103,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1004_05-03-2026.mp3,NJUD_1004,1004
106,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1005_06-03-2026.mp3,NJUD_1005,1005
110,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1101_09-03-2026.mp3,NJUD_1101,1101
113,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1102_10-03-2026.mp3,NJUD_1102,1102
117,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1103_11-03-2026.mp3,NJUD_1103,1103
120,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1104_12-03-2026.mp3,NJUD_1104,1104
124,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1105_13-03-2026.mp3,NJUD_1105,1105
