MES,DIA,PROGRAMA,DATA,STATUS,CAMINHO
JAN,15,NJUD_1807,15/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1807_15-01-2026.mp3
JAN,15,NJUD_1808,15/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1808_15-01-2026.mp3
JAN,16,NJUD_0305,16/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0305_16-01-2026.mp3
JAN,16,NJUD_1809,16/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1809_16-01-2026.mp3
JAN,19,NJUD_0401,19/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0401_19-01-2026.mp3
JAN,19,NJUD_1792,19/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1792_19-01-2026.mp3
JAN,20,NJUD_0402,20/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0402_20-01-2026.mp3
JAN,20,NJUD_1795,20/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1795_20-01-2026.mp3
JAN,21,NJUD_0403,21/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0403_21-01-2026.mp3
JAN,21,NJUD_1798,21/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1798_21-01-2026.mp3
JAN,22,NJUD_0404,22/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0404_22-01-2026.mp3
JAN,22,NJUD_1800,22/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1800_22-01-2026.mp3
JAN,23,NJUD_1802,23/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1802_23-01-2026.mp3
JAN,26,NJUD_0501,26/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0501_26-01-2026.mp3
JAN,26,NJUD_1805,26/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1805_26-01-2026.mp3
JAN,27,NJUD_0502,27/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0502_27-01-2026.mp3
JAN,27,NJUD_1807,27/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1807_27-01-2026.mp3
JAN,28,NJUD_0503,28/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0503_28-01-2026.mp3
JAN,28,NJUD_1822,28/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1822_28-01-2026.mp3
JAN,29,NJUD_0504,29/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0504_29-01-2026.mp3
JAN,29,NJUD_1829,29/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1829_29-01-2026.mp3
JAN,30,NJUD_1836,30/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1836_30-01-2026.mp3
