arquivo,pasta_drive,status,observacao
NJUD_1792_08-01-2026 (1).mp3,01 - JAN - 26,nao_canonico,Nome fora do padrao NJUD_XXXX_DD-MM-AAAA.mp3
NJUD_1912_24-04-2026_INCOMPLETO.mp3,04 - ABR - 26,nao_canonico,Nome fora do padrao NJUD_XXXX_DD-MM-AAAA.mp3
NJUD_1892_12-06-2026 (1).mp3,06 - JUN - 26,nao_canonico,Nome fora do padrao NJUD_XXXX_DD-MM-AAAA.mp3
NJUD_1899_23-06-2026 (1).mp3,06 - JUN - 26,nao_canonico,Nome fora do padrao NJUD_XXXX_DD-MM-AAAA.mp3
NJUD_1900_24-06-2026 (1).mp3,07 - JUL - 26,nao_canonico,Nome fora do padrao NJUD_XXXX_DD-MM-AAAA.mp3
