arquivo,pasta_drive,status,observacao
NJUD_0601_02-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0602_03-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0603_04-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0604_05-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0605_06-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0701_09-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0702_10-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0703_11-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0704_12-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0705_13-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0804_19-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0805_20-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0901_23-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0902_24-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0904_26-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0905_27-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1811_04-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1814_09-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1816_11-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1819_19-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1821_23-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1824_26-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1826_02-03-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1812_05-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1813_06-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1815_10-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1820_20-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1822_24-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1823_25-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1825_27-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1810_03-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1817_12-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1818_13-02-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1841_23-03-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1846_30-03-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1903_30-06-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1908_06-07-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1913_14-07-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1918_20-07-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1896_18-06-2026.mp3,02 - FEV - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1818_13-02-2026.mp3,02 - FEV - 26\_extra,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1813_06-02-2026.mp3,02 - FEV - 26\_extra,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1815_10-02-2026.mp3,02 - FEV - 26\_extra,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1820_20-02-2026.mp3,02 - FEV - 26\_extra,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1823_25-02-2026.mp3,02 - FEV - 26\_extra,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1825_27-02-2026.mp3,02 - FEV - 26\_extra,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1001_02-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1002_03-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1003_04-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1004_05-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1005_06-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1101_09-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1102_10-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1103_11-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1104_12-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1105_13-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1201_16-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1202_17-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1203_18-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1204_19-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1205_20-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1301_23-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1302_24-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1304_26-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1305_27-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1401_30-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1402_31-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1828_04-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1831_09-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1833_11-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1835_13-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1838_18-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1840_20-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1843_25-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1845_27-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
