LINHA,CAMINHO,PROGRAMA,NUMERO_EXTRAIDO
47,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1829_29-01-2026.mp3,NJUD_1829,1829
48,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1836_30-01-2026.mp3,NJUD_1836,1836
50,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1811_02-02-2026.mp3,NJUD_1811,1811
52,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1812_03-02-2026.mp3,NJUD_1812,1812
53,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1813_03-02-2026.mp3,NJUD_1813,1813
54,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1814_03-02-2026.mp3,NJUD_1814,1814
56,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1815_04-02-2026.mp3,NJUD_1815,1815
57,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1816_04-02-2026.mp3,NJUD_1816,1816
59,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1818_05-02-2026.mp3,NJUD_1818,1818
60,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1819_05-02-2026.mp3,NJUD_1819,1819
62,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1820_06-02-2026.mp3,NJUD_1820,1820
63,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1821_06-02-2026.mp3,NJUD_1821,1821
65,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1822_09-02-2026.mp3,NJUD_1822,1822
66,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1823_09-02-2026.mp3,NJUD_1823,1823
67,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1824_09-02-2026.mp3,NJUD_1824,1824
