arquivo,tipo,classificacao,duracao_s,primeira_palavra,ultima_palavra,motivo,erro,energia_borda_ini_db,energia_borda_fim_db,ffmpeg_sil_inicio_ms,ffmpeg_sil_fim_ms,ffmpeg_status
BOLETIM_RADIO_TJRN_03_02_2026_B4_TJRN_COMARCA_EXTREMOZ_DEMANDAS_JUDICIAIS__CORPO.mp3,CORPO,OK,41.74,A,os...,,,-120.0,-23.0,0,0,ok
BOLETIM_RADIO_TJRN_03_02_2026_B5_TRERN_CANAL_RECEBIMENTO_DENUNCIAS__CORPO.mp3,CORPO,OK,25.92,O,2026.,,,-68.0,-30.9,0,0,ok
BOLETIM_RADIO_TJRN_04_02_2026_B1_CONVOCACAO_JUIZES_LEIGOS_JUIZADOS_CORPO.mp3,CORPO,OK,59.67,A,produtividade.,,,-120.0,-32.6,0,0,ok
BOLETIM_RADIO_TJRN_04_02_2026_B2_DOACAO_LIVROS_SISTEMA_PRISIONAL_CORPO.mp3,CORPO,OK,54.29,O,ferramenta.,,,-120.0,-32.2,0,0,ok
BOLETIM_RADIO_TJRN_04_02_2026_B3_MANUAL_DE_GESTAO_PROCESSUAL_CORPO.mp3,CORPO,OK,52.01,A,setor,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-22.8,0,0,ok
BOLETIM_RADIO_TJRN_04_02_2026_B5_CONDENACAO_ROUBO_POLICIAL_MACAIBA_CORPO.mp3,CORPO,OK,41.86,A,roubo.,,,-76.3,-35.7,0,0,ok
BOLETIM_RADIO_TJRN_05_02_2026_B2_TJRN_MORADOR_MOSSORO_TRATAMENTO_MEDICO__CORPO.mp3,CORPO,OK,49.66,foi,abusiva,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-37.4,0,0,ok
BOLETIM_RADIO_TJRN_05_02_2026_B3_TJRN_CONDENA_EX_ASSESSORA_IMPROBIDADE_CORPO.mp3,CORPO,OK,47.27,A,pública.,,,-35.8,-23.5,0,0,ok
BOLETIM_RADIO_TJRN_05_02_2026_B4_TJRN_HOMEM_CONDENADO_ROUBO__CORPO.mp3,CORPO,OK,57.37,Rubou,alterados.,,,-27.7,-23.5,0,0,ok
BOLETIM_RADIO_TJRN_05_02_2026_B5_TJRN_REDE_SOCIAL_CONTA_PERFIL_CORPO.mp3,CORPO,OK,48.48,O,foi...,,,-120.0,-35.1,0,0,ok
BOLETIM_RADIO_TJRN_06_02_2026_B10_TJRN_EMPRESA_TRANSPORTE_CONDENADA_CORPO.mp3,CORPO,OK,43.8,Uma,presumida.,,,-120.0,-36.1,0,0,ok
BOLETIM_RADIO_TJRN_06_02_2026_B6_ESMARN_CURSO_INTELIGENCIA_ARTIFICIAL__CORPO.mp3,CORPO,OK,53.45,A,mês.,,,-36.3,-36.5,0,0,ok
BOLETIM_RADIO_TJRN_06_02_2026_B7_TJRN_IDOSA_CAPITALIZACAO__CORPO.mp3,CORPO,OK,49.92,Uma,serviço,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-32.3,0,0,ok
BOLETIM_RADIO_TJRN_06_02_2026_B9_TJRN_CUSTO_OBRAS_ACESSIBILIDADE_CORPO.mp3,CORPO,OK,67.66,Uma,sentença,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-22.7,-35.2,0,0,ok
