arquivo,tipo,classificacao,duracao_s,primeira_palavra,ultima_palavra,motivo,erro,energia_borda_ini_db,energia_borda_fim_db,ffmpeg_sil_inicio_ms,ffmpeg_sil_fim_ms,ffmpeg_status
BOLETIM_RADIO_TJRN_08_04_2026_B9_TJRN_ANULA_CONTRATO_OTICA__CABECA.mp3,CABECA,OK,3.35,O,Cruz.,,,-73.4,-20.7,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B1_TJRN_COBRANCA_INDEVIDA_BAGAGEM__CABECA.mp3,CABECA,OK,8.94,Com,morais.,,,-53.2,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B2_TJRN_MANTEM_CONDENACAO_ACUSADOS_ROUBO_CABECA.mp3,CABECA,OK,6.78,A,Panamirim.,,,-120.0,-40.8,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B3_TJRN_TECNICO_PAGAMENTO_SERVICO__CABECA.mp3,CABECA,OK,12.37,O,eletrônica.,,,-50.8,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B4_TJRN_SUPOSTO_DESVIO_FUNCAO_PM_CABECA.mp3,CABECA,OK,13.12,A,função.,,,-44.6,-24.1,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B5_TJRN_MANTIDA_CONDENACAO_EMPRESA_AEREA__CABECA.mp3,CABECA,OK,16.16,A,julgador.,,,-46.1,-42.9,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B6_TJRN_CAMARA_SESSAO_EXTRAORDINARIA_HIBRIDA__CABECA.mp3,CABECA,OK,5.68,Primeira,abril.,,,-24.7,-24.2,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B10_TRERN_AUTOATENDIMENTO_ELEITORAL_BIOMETRIA__CABECA.mp3,CABECA,OK,6.73,A,abril.,,,-120.0,-32.6,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B7_TJRN_SEMANA_NACIONAL_REGISTRO_CIVIL_CABECA.mp3,CABECA,OK,14.59,A,-se!,,,-57.1,-80.8,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B8_TRTRN_NOVA_SALA_ESPERA_AUDIENCIA__CABECA.mp3,CABECA,OK,5.64,Guarda,climatizada.,,,-120.0,-33.4,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B9_TRERN_CAMPANHA_ARRECADACOES_LIVROS_INFANTIS__CABECA.mp3,CABECA,OK,4.61,Biblioteca,infantis.,,,-120.0,-16.4,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B1_TJRN_FALHA_ELETRONICA_REGISTRO_DOCUMENTO__CABECA.mp3,CABECA,OK,14.65,O,responsável.,,,-56.5,-43.9,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B2_TJRN_PROJETO_GMF_REDE_SOCIOEDUCATIVA__CABECA.mp3,CABECA,OK,6.13,O,TJRN.,,,-48.2,-22.1,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B3_TJRN_COJUD_PROCESSO_SELETIVO__CABECA.mp3,CABECA,OK,7.54,A,economia.,,,-80.8,-51.1,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B4_TJRN_MUNICIPIO_GARANTIR_CONSULTAS__CABECA.mp3,CABECA,OK,7.32,A,imediata.,,,-74.7,-17.8,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B1_TJRN_FALHA_ELETRONICA_REGISTRO_DOCUMENTO__CORPO.mp3,CORPO,OK,47.95,mas,administração,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-90.3,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B2_TJRN_PROJETO_GMF_REDE_SOCIOEDUCATIVA__CORPO.mp3,CORPO,OK,39.93,promoveu,"Oeste,","CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-25.5,-90.3,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B3_TJRN_COJUD_PROCESSO_SELETIVO__CORPO.mp3,CORPO,OK,30.48,é,.060.,,,-120.0,-55.3,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B4_TJRN_MUNICIPIO_GARANTIR_CONSULTAS__CORPO.mp3,CORPO,OK,38.14,consultas,isonomia.,,,-22.5,-70.3,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B5_TJRN_MANTEM_RESPONSABILIZACAO_DANOS_ENCHENTE__CORPO.mp3,CORPO,OK,24.28,Conforme,determinado.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B6_TJRN_NEGA_RECURSO_ACUSADO_TENTATIVA_FEMINICIDIO__CORPO.mp3,CORPO,OK,53.55,O,atingida...,,,-120.0,-27.4,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B7_TJRN_ACORDOS_EXTRAJUDICIAIS_PROSSEGUIMENTOS__CORPO.mp3,CORPO,OK,38.42,Deixar,regula,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-53.4,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B8_TJRN_DECISAO_REALIZACAO_PERICIA_GRAFOTECNICA__CORPO.mp3,CORPO,OK,43.11,A,contrato.,,,-55.5,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B10_TJRN_CONDENA_FALSO_ADVOGADO__CORPO.mp3,CORPO,OK,44.18,De,via,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-42.8,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B9_TJRN_GARANTE_COBERTURA_PARTO_SEM_CARENCIA__CORPO.mp3,CORPO,OK,46.5,A,contratual.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B1_TJRN_CLIENTES_RECEBERAM_AGENCIA_TURISMO__CORPO.mp3,CORPO,OK,55.95,O,viagem.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B2_TJRN_CONSOLIDA_MEDIACAO_CONFLITOS__CORPO.mp3,CORPO,OK,32.79,Desde,comprimento.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B3_TJRN_OPERADORA_CONDENADA__CORPO.mp3,CORPO,OK,35.29,De,restrição.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B4_TJRN_NEGADO_ATO_IMPROBIDADE_SAO_MIGUEL__CORPO.mp3,CORPO,OK,49.55,Na,retroativas,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-78.3,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B5_TJRN_CONDENADO_ROUBO_CARRO__CORPO.mp3,CORPO,OK,57.71,de,criminosos.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B6_TJRN_ACUSADO_SEQUESTRO__CORPO.mp3,CORPO,OK,38.93,A,cautelar.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B10_REPARADORA_BARIATRICA_CORPO.mp3,CORPO,OK,52.49,e,depo...,,,-24.7,-24.3,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B7_FALHA_ELETRONICA_CONCURSO_CORPO.mp3,CORPO,OK,27.98,mas,título.,,,-120.0,-55.7,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B8_MPRN_EX_SECRETARIO_MOSSORO_CONDENADO_CORPO.mp3,CORPO,OK,65.16,O,difícil.,,,-22.3,-28.7,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B9_INDENIZACAO_FALTA_AGUA_CORPO.mp3,CORPO,OK,60.89,após,morais.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B1_TJRN_SANTA_CRUZ_PROJETOS_SOCIAIS__CORPO.mp3,CORPO,OK,48.04,A,Cruz.,,,-120.0,-23.6,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B2_TJRN_BANCO_CONDENADO_VAZAMENTOS_DADOS__CORPO.mp3,CORPO,OK,45.8,A,golpe...,,,-27.0,-90.3,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B3_TJRN_ACAO_ALIMENTOS_IDOSO_ALZHEIMER__CORPO.mp3,CORPO,OK,48.05,que,curador.,,,-22.5,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B4_TJRN_PLANO_SAUDE_CONDENADO_CIRURGIA_OCULAR__CORPO.mp3,CORPO,OK,72.25,O,NS.,,,-36.4,-70.3,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B5_TJRN_SENTENCA_EXIGENCIA_PROCURACAO_DETRAN__CORPO.mp3,CORPO,OK,67.64,O,particular.,,,-22.9,-44.0,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B6_TJRN_VIGILANTE_AUXILIAR_CONDENADOS__CORPO.mp3,CORPO,OK,77.74,A,.500.,,,-24.2,-28.3,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B7_TJRN_PLATAFORMA_NAO_EFETIVA_RESERVA_HOTEL_CORPO.mp3,CORPO,OK,55.62,A,materiais,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B8_TJRN_FALHA_DEPOSITO_BANCARIO__CORPO.mp3,CORPO,OK,41.85,O,judicial.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B10_TJRN_SEMANA_NACIONAL_SAUDE_CORPO.mp3,CORPO,OK,26.56,e,estaduais.,,,-63.5,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B9_TJRN_ANULA_CONTRATO_OTICA__CORPO.mp3,CORPO,OK,69.64,julgou,autora,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-22.2,-48.7,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B1_TJRN_COBRANCA_INDEVIDA_BAGAGEM__CORPO.mp3,CORPO,OK,49.69,A,serviço,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-55.5,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B2_TJRN_MANTEM_CONDENACAO_ACUSADOS_ROUBO_CORPO.mp3,CORPO,OK,54.88,contra,via...,,,-24.6,-20.9,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B3_TJRN_TECNICO_PAGAMENTO_SERVICO__CORPO.mp3,CORPO,OK,48.53,"E,","unidades,","CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B4_TJRN_SUPOSTO_DESVIO_FUNCAO_PM_CORPO.mp3,CORPO,OK,31.32,entre,estaduais,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-23.7,-55.3,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B5_TJRN_MANTIDA_CONDENACAO_EMPRESA_AEREA__CORPO.mp3,CORPO,OK,36.56,quando,internacionais.,,,-120.0,-58.1,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B6_TJRN_CAMARA_SESSAO_EXTRAORDINARIA_HIBRIDA__CORPO.mp3,CORPO,OK,23.8,Presidente,mesa.,,,-54.5,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B10_TRERN_AUTOATENDIMENTO_ELEITORAL_BIOMETRIA__CORPO.mp3,CORPO,OK,47.01,O,TRE.,,,-42.9,-84.3,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B7_TJRN_SEMANA_NACIONAL_REGISTRO_CIVIL_CORPO.mp3,CORPO,OK,37.59,promovida,expectativa,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-31.5,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B8_TRTRN_NOVA_SALA_ESPERA_AUDIENCIA__CORPO.mp3,CORPO,OK,31.25,A,TRTRN,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-27.5,-21.0,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B9_TRERN_CAMPANHA_ARRECADACOES_LIVROS_INFANTIS__CORPO.mp3,CORPO,ERRO_ANALISE,,,,,InvalidDataError: [Errno 1094995529] Invalid data found when processing input: 'data\\processed\\JORNAIS_DIVIDIDOS_TESTE_NJUD_1849\\ABRIL\\NJUD 1858\\BOLETIM_RADIO_TJRN_09_04_2026_B9_TRERN_CAMPANHA_ARRECADACOES_LIVROS_INFANTIS__CORPO.mp3',,,,,
