arquivo,tipo,classificacao,duracao_s,primeira_palavra,ultima_palavra,motivo,erro,energia_borda_ini_db,energia_borda_fim_db
BOLETIM_RADIO_TJRN_07_04_2026_B10_REPARADORA_BARIATRICA_CABECA.mp3,CABECA,OK,8.55,provimento,Panamirim.,,,-40.5,-23.7
BOLETIM_RADIO_TJRN_07_04_2026_B7_FALHA_ELETRONICA_CONCURSO_CABECA.mp3,CABECA,OK,15.48,O,responsável.,,,-62.4,-52.6
BOLETIM_RADIO_TJRN_07_04_2026_B8_MPRN_EX_SECRETARIO_MOSSORO_CONDENADO_CABECA.mp3,CABECA,OK,7.72,Após,cirerário.,,,-52.7,-31.1
BOLETIM_RADIO_TJRN_07_04_2026_B9_INDENIZACAO_FALTA_AGUA_CABECA.mp3,CABECA,OK,10.89,O,morais.,,,-57.1,-46.4
BOLETIM_RADIO_TJRN_08_04_2026_B1_TJRN_SANTA_CRUZ_PROJETOS_SOCIAIS__CABECA.mp3,CABECA,OK,15.19,O,penais.,,,-45.6,-74.7
BOLETIM_RADIO_TJRN_08_04_2026_B2_TJRN_BANCO_CONDENADO_VAZAMENTOS_DADOS__CABECA.mp3,CABECA,OK,12.17,de,diária.,,,-71.2,-37.3
BOLETIM_RADIO_TJRN_08_04_2026_B3_TJRN_ACAO_ALIMENTOS_IDOSO_ALZHEIMER__CABECA.mp3,CABECA,OK,7.73,A,Natal.,,,-120.0,-24.7
BOLETIM_RADIO_TJRN_08_04_2026_B4_TJRN_PLANO_SAUDE_CONDENADO_CIRURGIA_OCULAR__CABECA.mp3,CABECA,CORTADO,2.11,Cobertura,Cobertura,CABEÇA muito curta (2.1s) — provável corte no início da manchete,,-40.2,-32.2
BOLETIM_RADIO_TJRN_08_04_2026_B5_TJRN_SENTENCA_EXIGENCIA_PROCURACAO_DETRAN__CABECA.mp3,CABECA,OK,6.0,Mantida,-RN.,,,-120.0,-30.8
BOLETIM_RADIO_TJRN_08_04_2026_B6_TJRN_VIGILANTE_AUXILIAR_CONDENADOS__CABECA.mp3,CABECA,OK,7.8,Vigilante,trabalhavam.,,,-52.2,-31.0
BOLETIM_RADIO_TJRN_08_04_2026_B7_TJRN_PLATAFORMA_NAO_EFETIVA_RESERVA_HOTEL_CABECA.mp3,CABECA,OK,11.75,O,pontos.,,,-56.2,-120.0
BOLETIM_RADIO_TJRN_08_04_2026_B8_TJRN_FALHA_DEPOSITO_BANCARIO__CABECA.mp3,CABECA,OK,13.29,Um,eletrônico.,,,-40.9,-45.4
BOLETIM_RADIO_TJRN_08_04_2026_B10_TJRN_SEMANA_NACIONAL_SAUDE_CABECA.mp3,CABECA,OK,6.16,O,Saúde.,,,-66.8,-48.0
BOLETIM_RADIO_TJRN_08_04_2026_B9_TJRN_ANULA_CONTRATO_OTICA__CABECA.mp3,CABECA,OK,3.35,O,Cruz.,,,-73.4,-20.7
BOLETIM_RADIO_TJRN_09_04_2026_B1_TJRN_COBRANCA_INDEVIDA_BAGAGEM__CABECA.mp3,CABECA,OK,8.94,Com,morais.,,,-53.2,-120.0
BOLETIM_RADIO_TJRN_09_04_2026_B2_TJRN_MANTEM_CONDENACAO_ACUSADOS_ROUBO_CABECA.mp3,CABECA,OK,6.78,A,Panamirim.,,,-120.0,-40.8
BOLETIM_RADIO_TJRN_09_04_2026_B3_TJRN_TECNICO_PAGAMENTO_SERVICO__CABECA.mp3,CABECA,OK,12.37,O,eletrônica.,,,-50.8,-120.0
BOLETIM_RADIO_TJRN_09_04_2026_B4_TJRN_SUPOSTO_DESVIO_FUNCAO_PM_CABECA.mp3,CABECA,OK,13.12,A,função.,,,-44.6,-24.1
BOLETIM_RADIO_TJRN_09_04_2026_B5_TJRN_MANTIDA_CONDENACAO_EMPRESA_AEREA__CABECA.mp3,CABECA,OK,16.16,A,julgador.,,,-46.1,-42.9
BOLETIM_RADIO_TJRN_09_04_2026_B6_TJRN_CAMARA_SESSAO_EXTRAORDINARIA_HIBRIDA__CABECA.mp3,CABECA,OK,5.68,Primeira,abril.,,,-24.7,-24.2
BOLETIM_RADIO_TJRN_09_04_2026_B10_TRERN_AUTOATENDIMENTO_ELEITORAL_BIOMETRIA__CABECA.mp3,CABECA,OK,6.73,A,abril.,,,-120.0,-32.6
BOLETIM_RADIO_TJRN_09_04_2026_B7_TJRN_SEMANA_NACIONAL_REGISTRO_CIVIL_CABECA.mp3,CABECA,OK,14.59,A,-se!,,,-57.1,-80.8
BOLETIM_RADIO_TJRN_09_04_2026_B8_TRTRN_NOVA_SALA_ESPERA_AUDIENCIA__CABECA.mp3,CABECA,OK,5.64,Guarda,climatizada.,,,-120.0,-33.4
BOLETIM_RADIO_TJRN_09_04_2026_B9_TRERN_CAMPANHA_ARRECADACOES_LIVROS_INFANTIS__CABECA.mp3,CABECA,OK,4.61,Biblioteca,infantis.,,,-120.0,-16.4
BOLETIM_RADIO_TJRN_10_04_2026_B1_TJRN_DECISAO_REALIZACAO_PERICIA_ASSINATURA__CABECA.mp3,CABECA,OK,13.19,A,cartório.,,,-84.3,-26.8
BOLETIM_RADIO_TJRN_10_04_2026_B2_TJRN_SUPERLOTACAO_CARCERARIA_PROGRESSAO_REGIME__CABECA.mp3,CABECA,OK,6.54,Superlotação,prisional.,,,-120.0,-33.4
BOLETIM_RADIO_TJRN_10_04_2026_B3_TJRN_COSERN_CANCELAR_DEBITO_FRAUDE__CABECA.mp3,CABECA,OK,15.26,A,Apodí.,,,-69.5,-21.9
BOLETIM_RADIO_TJRN_10_04_2026_B4_TJRN_CLIENTE_SOFRE_GOLPE_EMPRESTIMO_CONSIGNADO__CABECA.mp3,CABECA,OK,6.72,Clite,consignado.,,,-120.0,-24.2
BOLETIM_RADIO_TJRN_10_04_2026_B5_TJRN_RECONHECE_DIREITO_CORRETOR__CABECA.mp3,CABECA,OK,7.36,Justiça,natal.,,,-120.0,-23.8
BOLETIM_RADIO_TJRN_10_04_2026_B6_TJRN_PLANO_SAUDE_COBRANCA_EXCESSIVA__CABECA.mp3,CABECA,OK,8.95,Qualquer,contrato.,,,-32.2,-39.9
