data,mes,status
08-05-2026,05 - MAI - 26,PENDENTE
11-05-2026,05 - MAI - 26,PENDENTE
12-05-2026,05 - MAI - 26,PENDENTE
13-05-2026,05 - MAI - 26,PENDENTE
14-05-2026,05 - MAI - 26,PENDENTE
15-05-2026,05 - MAI - 26,PENDENTE
18-05-2026,05 - MAI - 26,PENDENTE
19-05-2026,05 - MAI - 26,PENDENTE
20-05-2026,05 - MAI - 26,PENDENTE
21-05-2026,05 - MAI - 26,PENDENTE
22-05-2026,05 - MAI - 26,PENDENTE
25-05-2026,05 - MAI - 26,PENDENTE
26-05-2026,05 - MAI - 26,PENDENTE
27-05-2026,05 - MAI - 26,PENDENTE
28-05-2026,05 - MAI - 26,PENDENTE
29-05-2026,05 - MAI - 26,PENDENTE
