data,mes,status
01-07-2026,07 - JUL - 26,PENDENTE
02-07-2026,07 - JUL - 26,PENDENTE
03-07-2026,07 - JUL - 26,PENDENTE
06-07-2026,07 - JUL - 26,PENDENTE
07-07-2026,07 - JUL - 26,PENDENTE
08-07-2026,07 - JUL - 26,PENDENTE
09-07-2026,07 - JUL - 26,PENDENTE
10-07-2026,07 - JUL - 26,PENDENTE
13-07-2026,07 - JUL - 26,PENDENTE
14-07-2026,07 - JUL - 26,PENDENTE
15-07-2026,07 - JUL - 26,PENDENTE
16-07-2026,07 - JUL - 26,PENDENTE
17-07-2026,07 - JUL - 26,PENDENTE
20-07-2026,07 - JUL - 26,PENDENTE
21-07-2026,07 - JUL - 26,PENDENTE
22-07-2026,07 - JUL - 26,PENDENTE
23-07-2026,07 - JUL - 26,PENDENTE
24-07-2026,07 - JUL - 26,PENDENTE
28-07-2026,07 - JUL - 26,PENDENTE
29-07-2026,07 - JUL - 26,PENDENTE
30-07-2026,07 - JUL - 26,PENDENTE
31-07-2026,07 - JUL - 26,PENDENTE
