data,mes,status
01-06-2026,06 - JUN - 26,PENDENTE
05-06-2026,06 - JUN - 26,PENDENTE
11-06-2026,06 - JUN - 26,PENDENTE
12-06-2026,06 - JUN - 26,PENDENTE
15-06-2026,06 - JUN - 26,PENDENTE
16-06-2026,06 - JUN - 26,PENDENTE
17-06-2026,06 - JUN - 26,PENDENTE
18-06-2026,06 - JUN - 26,PENDENTE
19-06-2026,06 - JUN - 26,PENDENTE
22-06-2026,06 - JUN - 26,PENDENTE
23-06-2026,06 - JUN - 26,PENDENTE
24-06-2026,06 - JUN - 26,PENDENTE
25-06-2026,06 - JUN - 26,PENDENTE
26-06-2026,06 - JUN - 26,PENDENTE
29-06-2026,06 - JUN - 26,PENDENTE
30-06-2026,06 - JUN - 26,PENDENTE
