arquivo,data,num_projetado,status
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B2_DEVOLUCAO_SINAL_PAGO_EMPRESA_NJUD_CABECA.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B2_DEVOLUCAO_SINAL_PAGO_EMPRESA_NJUD_CORPO.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B2_INCONSTITUCIONALIDADE_LOTERIA_ITAJA_CABECA.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B2_INCONSTITUCIONALIDADE_LOTERIA_ITAJA_CORPO.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B2_TJRN_JUIZES_POSSE_TJCE_CABECA.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B2_TJRN_JUIZES_POSSE_TJCE_CORPO.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B2_TJRN_PENAS_PECUNIARIAS_NISIA_FLORESTA_NJUD_1929_CABECA.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B2_TJRN_PENAS_PECUNIARIAS_NISIA_FLORESTA_NJUD_1929_CORPO.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B3_CONDENACAO_HOMEM_AMEACA_VIZINHA_NJUD_CABECA.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B3_CONDENACAO_HOMEM_AMEACA_VIZINHA_NJUD_CORPO.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B3_REDUCAO_MULTA_CONTRATO_NJUD_1915_CABECA.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B3_REDUCAO_MULTA_CONTRATO_NJUD_1915_CORPO.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B3_TJRN_CEJUSC_NOVA_CRUZ_PROCESSO_SELETIVO__CABECA.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B3_TJRN_CEJUSC_NOVA_CRUZ_PROCESSO_SELETIVO__CORPO.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B3_TJRN_LITERATURA_CARCERE_FLIP_2026_CABECA.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B3_TJRN_LITERATURA_CARCERE_FLIP_2026_CORPO.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B4_COBRANCA_INDENIVA_TRANSPORTE_APLICATIVO_NJUD_1915_CABECA.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B4_COBRANCA_INDENIVA_TRANSPORTE_APLICATIVO_NJUD_1915_CORPO.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B4_TJRN_MANTIDA_REMUNERACAO_PM_NJUD_1923_CABECA.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B4_TJRN_MANTIDA_REMUNERACAO_PM_NJUD_1923_CORPO.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B10_MPRN_ORIENTA_JARDIM_SERIDO_TAXI_CABECA.mp3,26/05/2026,1878,pronto_renomear
