arquivo_original,data,num_atual,num_projetado,motivo
NJUD_1898_22-06-2026.mp3,22-06-2026,1898,1896,renomeado
NJUD_1899_23-06-2026.mp3,23-06-2026,1899,1897,renomeado
NJUD_1900_24-06-2026.mp3,24-06-2026,1900,1898,renomeado
NJUD_1901_01-06-2026.mp3,01-06-2026,1901,1882,renomeado
NJUD_1901_25-06-2026.mp3,25-06-2026,1901,1899,renomeado
NJUD_1903_03-06-2026.mp3,03-06-2026,1903,1884,renomeado
NJUD_1905_02-07-2026.mp3,02-07-2026,1905,1904,renomeado
NJUD_1906_03-07-2026.mp3,03-07-2026,1906,1905,renomeado
NJUD_1907_06-07-2026.mp3,06-07-2026,1907,1906,renomeado
NJUD_1908_07-07-2026.mp3,07-07-2026,1908,1907,renomeado
NJUD_1909_08-07-2026.mp3,08-07-2026,1909,1908,renomeado
NJUD_1910_09-07-2026.mp3,09-07-2026,1910,1909,renomeado
NJUD_1911_10-07-2026.mp3,10-07-2026,1911,1910,renomeado
NJUD_1912_13-07-2026.mp3,13-07-2026,1912,1911,renomeado
NJUD_1913_14-07-2026.mp3,14-07-2026,1913,1912,renomeado
NJUD_1914_15-07-2026.mp3,15-07-2026,1914,1913,renomeado
NJUD_1915_16-07-2026.mp3,16-07-2026,1915,1914,renomeado
NJUD_1916_17-07-2026.mp3,17-07-2026,1916,1915,renomeado
NJUD_1917_20-07-2026.mp3,20-07-2026,1917,1916,renomeado
NJUD_1918_21-07-2026.mp3,21-07-2026,1918,1917,renomeado
NJUD_1919_22-07-2026.mp3,22-07-2026,1919,1918,renomeado
NJUD_1920_23-07-2026.mp3,23-07-2026,1920,1919,renomeado
NJUD_1921_24-07-2026.mp3,24-07-2026,1921,1920,renomeado
NJUD_1922_27-07-2026.mp3,27-07-2026,1922,1921,renomeado
NJUD_1927_16-04-2026.mp3,16-04-2026,1927,1852,renomeado
NJUD_2001_09-06-2026.mp3,09-06-2026,2001,1887,renomeado
NJUD_2002_10-06-2026.mp3,10-06-2026,2002,1888,renomeado
NJUD_2003_11-06-2026.mp3,11-06-2026,2003,1889,renomeado
NJUD_2204_01-07-2026.mp3,01-07-2026,2204,1903,renomeado
NJUD_1794_01-01-2026.mp3,01-01-2026,1794,,sem entrada no CSV
NJUD_1797_02-01-2026.mp3,02-01-2026,1797,,sem entrada no CSV
NJUD_1804_05-01-2026.mp3,05-01-2026,1804,,sem entrada no CSV
NJUD_1812_06-01-2026.mp3,06-01-2026,1812,,sem entrada no CSV
NJUD_1820_16-02-2026.mp3,16-02-2026,1820,,sem entrada no CSV
NJUD_1823_17-02-2026.mp3,17-02-2026,1823,,sem entrada no CSV
NJUD_1889_04-06-2026.mp3,04-06-2026,1889,,sem entrada no CSV
NJUD_1901_26-07-2026.mp3,26-07-2026,1901,,sem entrada no CSV
NJUD_1909_01-05-2026.mp3,01-05-2026,1909,,sem entrada no CSV
NJUD_1915_26-04-2026.mp3,26-04-2026,1915,,sem entrada no CSV
NJUD_1904_04-06-2026.mp3,04-06-2026,1904,,sem entrada no CSV
NJUD_1811_02-02-2026.mp3,02-02-2026,1811,1802,destino já existe
NJUD_1819_05-02-2026.mp3,05-02-2026,1819,1805,destino já existe
NJUD_1892_03-06-2026.mp3,03-06-2026,1892,1884,destino já existe
NJUD_1895_08-06-2026.mp3,08-06-2026,1895,1886,destino já existe
NJUD_1899_10-06-2026.mp3,10-06-2026,1899,1888,destino já existe
NJUD_1912_24-04-2026.mp3,24-04-2026,1912,1857,destino já existe
NJUD_1924_26-08-2026.mp3,26-08-2026,1924,1943,destino já existe
NJUD_1925_26-08-2026.mp3,26-08-2026,1925,1943,destino já existe
NJUD_1927_15-04-2026.mp3,15-04-2026,1927,1851,destino já existe
NJUD_1929_16-04-2026.mp3,16-04-2026,1929,1852,destino já existe
